"","country","years.new","phase","Region.Name","Sub.region.Name","Intermediate.Region.Name","ISO.alpha3.Code","total.cases","valid.cases","urban.wife","urban.both","urban.husband","urban.other","urban.missing","rural.wife","rural.both","rural.husband","rural.other","rural.missing"
"22","Cameroon","2011",6,"Africa","Sub-Saharan Africa","Middle Africa","CMR",15426,2277,424.176201,955.539202,145.35792,7.030672,NA,218.08109,428.580584,80.647076,4.547355,NA
"23","Cameroon","2004",4,"Africa","Sub-Saharan Africa","Middle Africa","CMR",10656,1903,384.44301,735.10434,114.47251,8.9545,NA,182.1373,332.30164,69.1311,5.17749,NA
"24","Chad","2014",7,"Africa","Sub-Saharan Africa","Middle Africa","TCD",17719,524,74.36844,145.351043,55.194384,0.959932,NA,56.11789,304.543777,66.69171,7.08502,NA
"25","Colombia","2015",7,"Americas","Latin America and the Caribbean","South America","COL",38718,15186,3231.322052,7621.287046,559.652161,94.304557,NA,806.225302,2630.277309,167.856885,51.936769,NA
"26","Colombia","2010",6,"Americas","Latin America and the Caribbean","South America","COL",53521,20729,3463.536948,11309.805611,386.801548,96.356847,NA,899.484971,4144.572952,160.28939,46.666329,NA
"27","Colombia","2005",5,"Americas","Latin America and the Caribbean","South America","COL",41344,15314,2926.919514,8002.412034,298.031652,119.210799,NA,854.199277,3060.502895,143.655116,58.33307,NA
"28","Colombia","2000",4,"Americas","Latin America and the Caribbean","South America","COL",11585,4606,773.98014,2420.769497,90.659091,27.697667,NA,231.828988,959.749291,55.337308,4.56511,NA
"29","Comoros","2012",6,"Africa","Sub-Saharan Africa","Eastern Africa","COM",5329,675,134.292869,86.900201,86.245436,3.451571,4.582278,77.01449,143.563396,82.45086,5.870698,7.089091
"30","Congo","2011",6,"Africa","Sub-Saharan Africa","Middle Africa","COG",10819,2904,586.956367,1015.31232,243.993573,4.653959,16.801991,243.655771,589.934262,104.78154,1.922089,5.332426
"31","Democratic Republic of the Congo","2013",6,"Africa","Sub-Saharan Africa","Middle Africa","COD",18827,2098,345.139434,686.926408,154.017962,5.792461,NA,313.36946,705.810992,190.017321,21.330313,NA
"32","Democratic Republic of the Congo","2007",5,"Africa","Sub-Saharan Africa","Middle Africa","COD",9995,1382,158.292038,432.965062,105.924423,4.651481,NA,147.139245,397.816518,85.091442,7.109615,NA
"33","Côte d'Ivoire","2011",6,"Africa","Sub-Saharan Africa","Western Africa","CIV",10060,1062,239.653459,233.022023,110.553151,7.37807,NA,191.472618,236.49625,75.688951,9.542117,NA
"34","Dominican Republic","2007",5,"Americas","Latin America and the Caribbean","Caribbean","DOM",27195,11302,1903.049155,4950.670737,288.266032,250.464827,81.921804,820.977616,2353.898805,175.446167,120.586095,19.164985
"35","Dominican Republic","2002",4,"Americas","Latin America and the Caribbean","Caribbean","DOM",23384,9953,2404.734942,3318.169586,249.445835,343.923375,NA,1129.779388,1838.714988,210.271676,181.182795,NA
"36","Egypt","2014",6,"Africa","Northern Africa","","EGY",21762,11643,971.345791,3284.077406,78.035269,6.276673,NA,1719.414414,5681.872889,188.150357,17.739345,NA
"37","Egypt","2005-2008",5,"Africa","Northern Africa","","EGY",36001,19254,1013.808197,7340.772055,220.990958,15.8038,55.552284,1428.079739,9362.531187,368.848127,25.60809,81.77015
"38","Egypt","2005-2008",5,"Africa","Northern Africa","","EGY",36001,19254,1013.808197,7340.772055,220.990958,15.8038,55.552284,1428.079739,9362.531187,368.848127,25.60809,81.77015
"39","Ethiopia","2016",7,"Africa","Sub-Saharan Africa","Eastern Africa","ETH",15683,2980,197.31895,636.955447,26.799797,0.988012,NA,595.185541,2034.390336,171.679014,5.227975,NA
"40","Ethiopia","2011",6,"Africa","Sub-Saharan Africa","Eastern Africa","ETH",16515,2615,158.212338,782.554073,14.429516,NA,11.990849,344.688352,1520.097423,90.986808,NA,20.686563
"41","Ethiopia","2005",5,"Africa","Sub-Saharan Africa","Eastern Africa","ETH",14070,1510,81.851639,336.174613,18.626895,NA,11.037362,155.67204,635.007685,46.103816,NA,49.878214
"42","Ethiopia","2000",4,"Africa","Sub-Saharan Africa","Eastern Africa","ETH",15367,1046,82.295934,302.372014,37.216014,NA,NA,104.463969,217.77163,39.940035,NA,NA
"43","Gabon","2012",6,"Africa","Sub-Saharan Africa","Middle Africa","GAB",8422,1311,422.055567,683.363573,97.806743,22.748592,43.208311,43.517314,67.169067,8.769358,2.793587,2.257006
"44","Gambia","2013",6,"Africa","Sub-Saharan Africa","Western Africa","GMB",10233,534,138.770631,212.495935,59.943025,NA,NA,62.868431,66.535513,30.4804,NA,NA
"45","Ghana","2014",7,"Africa","Sub-Saharan Africa","Western Africa","GHA",9396,1412,199.379103,410.223546,70.311344,5.762953,NA,184.662145,478.527014,65.074696,1.32856,NA
"46","Ghana","2008",5,"Africa","Sub-Saharan Africa","Western Africa","GHA",4916,664,77.504852,213.996484,29.227081,0.631637,8.163699,78.256429,229.626503,26.863245,0.850643,11.276543
